similarity,name1,name2,totalCount,stmId,plantationName,locationDescription,district
0.833,"Maria's lust","Sara's lust",6,stm-01716,"Sara's lust","Boven-Saramacca","Divisie Saramacca"
0.833,"Maria's Lust","Sara's lust",3,stm-02396,"Maria's Lust","Wanica Kreek","Divisie Saramacca"
0.833,"Maria's Lust","Sara's lust",3,stm-01427,"Sara's lust","Suriname","Divisie Boven-Suriname en Thorarica"
0.833,"Maria's Lust","Sara's lust",3,stm-01716,"Sara's lust","Boven-Saramacca","Divisie Saramacca"
0.824,"Anna Catharina","Johanna Catharina",4,stm-00615,"Anna Catharina","Matappica Kreek","Divisie Beneden-Cottica"
0.824,"Anna Catharina","Johanna Catharina",4,stm-00936,"Johanna Catharina","Beneden-Saramacca","Divisie Saramacca"
0.824,"Anna Catharina","Johanna Catharina",4,stm-00943,"Johanna Catharina","Beneden-Saramacca","Divisie Saramacca"
0.824,"Anna Catharina","Johanna Catharina",4,stm-01672,"Johanna Catharina","Beneden-Saramacca","Divisie Saramacca"
0.818,"Hermitage","L'Hermitage",2,stm-01360,"Hermitage","Pad van Wanica","Divisie Saramacca"
0.818,"Hermitage","L'Hermitage",2,stm-01907,"L'Hermitage","Boven-Saramacca","Divisie Saramacca"
0.818,"Leidenshoop","Leijenhoop",2,stm-00605,"Leidenshoop","Matappica Kreek",""
0.818,"Leidenshoop","Leijenhoop",2,stm-00792,"Leijenhoop","Paramarica Kreek","Divisie Matapplea"
0.818,"Pietersburg","Pieterszorg",3,stm-01171,"Pietersburg","Boven-Cottica","Divisie Boven-Cottica en Perica"
0.818,"Pietersburg","Pieterszorg",3,stm-01723,"Pietersburg","Boven-Saramacca",""
0.818,"Pietersburg","Pieterszorg",3,stm-00662,"Pieterszorg","Beneden-Commewijne","Divisie Beneden-Cottica"
0.818,"Vredenburg","Vriesenburg",2,stm-01397,"Vredenburg","Para Kreek","Divisie Para"
0.818,"Vredenburg","Vriesenburg",2,stm-01213,"Vriesenburg","Perica Kreek","Divisie Boven-Cottica en Perica"
0.818,"Vredenburg","Vriezenburg",2,stm-01397,"Vredenburg","Para Kreek","Divisie Para"
0.818,"Vredenburg","Vriezenburg",2,stm-02232,"Vriezenburg","Mot Kreek","Divisie Boven-Cottica en Perica"
0.813,"De Nieuwe Aanleg","Nieuwe Aanleg",3,stm-02446,"De Nieuwe Aanleg","Rijweg naar Kwatta",""
0.813,"De Nieuwe Aanleg","Nieuwe Aanleg",3,stm-02088,"Nieuwe Aanleg","Orelana Kreek","Divisie Beneden-Commewijne"
0.813,"De Nieuwe Aanleg","Nieuwe Aanleg",3,stm-02457,"Nieuwe Aanleg","Beneden-Saramacca","Divisie Saramacca"
0.813,"De Twee Kinderen","De Vier Kinderen",4,stm-00543,"De Twee Kinderen","Suriname","Divisie Para"
0.813,"De Twee Kinderen","De Vier Kinderen",4,stm-01184,"De Vier Kinderen","Boven-Commewijne","Divisie Boven-Commewijne"
0.813,"De Twee Kinderen","De Vier Kinderen",4,stm-01386,"De Vier Kinderen","",""
0.813,"De Twee Kinderen","De Vier Kinderen",4,stm-01491,"De Vier Kinderen","Coropina Kreek","Divisie Para"
