qid;map_id;label_on_map;has_polygon
Q59133843;MAP_1930;La Solitude;true
Q59133843;MAP_1860-79;La Solitude;false
Q59115471;MAP_1930;De Nieuwe Eendragt;true
Q59115471;MAP_1860-79;De Nieuwe Eendragt;false
Q59133028;MAP_1930;Oud Bellevue;true
Q59133028;MAP_1860-79;Oud Bellevue;false
Q59132790;MAP_1930;Munnickendam;true
Q59132790;MAP_1860-79;Munnickendam;false
Q135395219;MAP_1930;Binsbergen;true
Q135395219;MAP_1860-79;Binsbergen;false
Q59116869;MAP_1930;La Felicite;true
Q59116869;MAP_1860-79;La Felicite;false
Q1834375;MAP_1930;Geertruidenberg;true
Q1834375;MAP_1860-79;Geertruidenberg;false
Q59115558;MAP_1930;Ephrata;true
Q59115558;MAP_1860-79;Ephrata;false
Q130535967;MAP_1930;Lemmertskamp;true
Q130535967;MAP_1860-79;Lemmertskamp;false
Q59133017;MAP_1930;Osembo;true
Q59133017;MAP_1860-79;Osembo;false
Q59115706;MAP_1930;Hulshof;true
Q59115706;MAP_1860-79;Hulshof;false
Q59115545;MAP_1930;Einde Rust;true
Q59115545;MAP_1860-79;Rust en Werk;false
Q59116976;MAP_1930;Lochaber;true
Q59116976;MAP_1860-79;Rhijnie;false
Q124832148;MAP_1860-79;Hern. Kerk en School;false
Q124832148;MAP_1930;Waterloo;true
Q124832148;MAP_1860-79;Waterloo;false
Q2365469;MAP_1930;Buitenrust;true
Q2365469;MAP_1860-79;Buitenrust;false
Q59115355;MAP_1930;Cannawappibo;true
Q59115355;MAP_1860-79;Cannawappibo;false
Q59133831;MAP_1930;Siparipabo;true
Q59133831;MAP_1860-79;Siparipabo;false
Q59115115;MAP_1930;t IJland;true
Q59115115;MAP_1860-79;t IJland;false
Q124830844;MAP_1930;Hope;true
Q124830844;MAP_1860-79;Hope;false
Q49630506;MAP_1930;Van Drimmelenpolder;true
Q20967226;MAP_1930;Crappa hoek;true
Q20967226;MAP_1860-79;Crappa hoek;false
Q59115453;MAP_1930;De Goudmijn;true
Q59115453;MAP_1860-79;De Goudmijn;false
Q59133962;MAP_1930;Twistrust;true
Q59133962;MAP_1860-79;Twistrust;false
Q124831922;MAP_1930;Staf Aarons;true
Q124831922;MAP_1860-79;Staf Aarons;false
Q59115505;MAP_1930;De Watering;true
Q59115505;MAP_1860-79;De Watering;false
Q59116832;MAP_1930;Kocqswoud;true
Q59116832;MAP_1860-79;Kocqswoud;false
Q59134148;MAP_1930;Capoerica;true
Q59134148;MAP_1860-79;Capoerica;false
Q59133966;MAP_1930;Mon plaisir;true
Q59133966;MAP_1860-79;Uit en t'huis;false
Q59133996;MAP_1930;Vissershaven;true
Q59133996;MAP_1860-79;Visschershaven;false
Q59132863;MAP_1930;Nieuw va comme je te pousse;true
Q59132863;MAP_1860-79;Nieuw va comme je te pausse;false
Q59116925;MAP_1930;Landzigt;true
Q59116925;MAP_1860-79;Landzigt;false
Q59134182;MAP_1930;Zeezigt;true
Q59134182;MAP_1860-79;Zeezigt;false
Q59119428;MAP_1930;Misgunst;true
Q59119428;MAP_1860-79;Misgunst;false
Q124832145;MAP_1930;Voorzorg;true
Q124832145;MAP_1860-79;Voorzorg;false
Q59115392;MAP_1930;Clemensburg;true
Q59115392;MAP_1860-79;Clemensburg;false
Q135395213;MAP_1930;Aan Vriesenburg;true
Q135395213;MAP_1860-79;Aan Vriesenburg;false
Q59115339;MAP_1930;Buijs en Vlijt;true
Q59115339;MAP_1860-79;Buijs en Vlijt;false
Q59133900;MAP_1930;Stolkwijk;true
Q59133900;MAP_1860-79;Stolkwijk;false
Q59133931;MAP_1930;Toevlugt;true
Q59133931;MAP_1860-79;Toevlugt;false
